fips	name	state	sq_km	precip	snow	temp	life_expectancy	avg_income
42009	bucks county	12	1565.41	49.6	33.6	51.6	80.38	73447
22025	east baton rouge parish	23	1179.35	63	0.1	68	76.35	51386
8033	el paso county	15	5508.5	19.7	73.2	45.6	79.83	48467
34017	monmouth county	37	1213.13	47.8	28.4	53.6	80.24	79978
39145	summit county	6	1069.19	38.1	47.5	50.7	78.02	51036
23995	anne arundel county	40	1074.29	44.6	14	57.1	79.16	67363
55125	waukesha county	9	1423.68	35	39.5	46.5	81.55	72650
45037	greenville county	42	2033.69	57.9	4.2	57	78.01	48644
34009	hudson county	37	119.765	47.4	25.2	54.8	80.33	65139
48133	el paso county	3	2624.14	9.7	3.9	64.1	79.79	35856
42063	lancaster county	12	2444.6	42.8	23.6	52.8	80.51	52664
17189	will county	33	2166.1	39.2	29.6	50.4	79.94	52953
39105	montgomery county	6	1195.94	40.4	17.8	52.9	76.91	46891
49041	utah county	17	5189.27	17.7	48.5	50.3	80.75	40919
48113	denton county	3	2275.42	39.6	0.2	64.4	80.8	55933
20165	sedgwick county	28	2583.5	33.7	14.9	56.7	77.65	53776
12063	lee county	30	2030.7	54.6	0	74.8	80.98	51266
42037	delaware county	12	476.088	40.4	15	56	78.82	66617
47085	knox county	20	1316.57	51.9	6.5	57.8	76.83	49738
36059	onondaga county	24	2016.01	42.2	100.9	47	79.68	52886
5111	pulaski county	10	1965.58	50.6	4.1	62.7	76.48	51185
15993	ada county	29	2724.9	12.9	25.5	52.2	80.75	52958
45011	charleston county	42	2376.25	50	0.2	65.6	78.4	61477
34031	union county	37	266.171	48.5	25	54	80.49	68262
29502	st. louis city	14	160.463	43	15.1	57.3	74.14	47643
48207	hidalgo county	3	4068.61	23.2	0.1	74.3	80.97	26410
32023	washoe county	32	16323.1	8.9	15.4	51.5	78.12	59639
24997	bristol county	27	1432.46	50	34.9	50.3	79.2	54089
37055	durham county	16	741.761	47	3.4	57.9	79.07	50698
34013	mercer county	37	581.087	46.6	22.7	53.2	79.8	69344
8051	jefferson county	15	1979.38	19.4	93.5	47.4	80.02	63536
6021	kern county	4	21062.4	9.6	2.3	61.6	77.26	39703
53055	spokane county	0	4568.46	18.6	49.5	46.7	78.9	46466
12097	polk county	30	4653.58	51.8	0	73.3	77.96	35463
47057	hamilton county	20	1404.76	55.4	3.9	58	77.45	51743
6069	san joaquin county	4	3606.19	17.1	0	61.5	78.1	44995
39087	lucas county	6	883.13	35.2	37.6	51.2	77.06	46290
17081	kane county	33	1347.22	37.7	28	49	80.92	51333
34027	somerset county	37	781.816	47.7	22.8	51.2	81.95	106194
33003	hillsborough county	45	2269.88	46.7	65.3	47	80.07	61147
12001	brevard county	30	2629.33	53	0	72.1	78.52	45425
33997	burlington county	37	2069.24	47.2	13.2	54.3	79.77	62120
33999	camden county	37	573.282	45.4	1.9	55	78.12	54103
51079	henrico county	19	605.18	44.2	10.3	58.2	79.44	66836
12109	seminole county	30	801.709	52.4	0	72.7	80.39	49049
37059	forsyth county	16	1056.12	44.9	4.5	58.3	78.06	48804
17995	allen county	26	1702.45	37.8	30	50	78.31	46288
7993	adams county	15	3023.22	14.9	41.1	50.7	80.02	43315
42069	lehigh county	12	894.01	46.7	30.4	51.2	79.58	53614
35993	albany county	24	1354.08	39.8	53.3	47.2	80.07	61201
27029	dakota county	38	1456.72	32.6	41.2	45.2	81.9	60651
48149	fort bend county	3	2231.42	49.8	0	69.9	81.84	57540
22043	jefferson parish	23	765.682	63.4	0	69.3	77.28	51005
22063	orleans parish	23	438.814	61.3	0.2	70.6	75.8	52004
24019	howard county	40	649.943	43.4	19.2	54.4	82.98	78416
6089	sonoma county	4	4081.45	41.5	0	58.4	81.09	64501
25015	plymouth county	27	1706.34	50.8	40.3	50.1	79.63	67505
25005	hampden county	27	1598.13	49	63.4	47.3	78.85	51187
22997	cumberland county	43	2164.39	49.4	70	45	80.37	62523
48331	montgomery county	3	2700.32	48.9	0	67.8	78.74	63605
1081	madison county	7	2076.15	55.1	2.4	60.8	78.07	51445
48483	williamson county	3	2896.48	35.4	0.2	66.9	81.73	50776
18081	lake county	26	1292.05	39.4	29.3	49.8	76.57	45172
42125	york county	12	2341.88	42.6	24	53.1	79.41	50113
51099	loudoun county	19	1335.69	42.2	21.6	54.2	83.19	78070
21059	fayette county	5	734.616	45.2	13	55.6	78.4	50180
29069	greene county	14	1749.07	44.5	13.8	56.4	78.13	44837
45071	richland county	42	1960.99	45.5	0.6	63.8	77.36	45529
42003	berks county	12	2218.04	46.3	14.5	52.2	79.61	49945
51802	virginia beach city	19	633.824	44.3	7	60.3	79.89	58308
6053	placer county	4	3644.24	49.9	43.6	53.3	81.46	66700
26153	washtenaw county	25	1828.42	34.7	45.3	48.3	81.09	59363
6075	santa barbara county	4	7084	19.7	0	59.3	81.65	62690
8005	boulder county	15	1881.28	21.1	75.6	43.8	80.02	73394
12119	volusia county	30	2852.08	52.3	0	70.7	77.49	42374
1089	mobile county	7	3184.13	64.3	0.1	67.4	75.13	38243
34021	ocean county	37	1628.66	44.1	11.2	53.8	79.16	52008
18049	hamilton county	26	1021.31	41.7	20.3	51.6	81.78	74717
42035	dauphin county	12	1359.89	44.5	30.6	52	78.77	51100
51005	arlington county	19	67.3624	39.7	15.4	58.2	82.76	95198
53003	clark county	0	1627.73	44.5	1.6	52.5	79.72	53423
12107	sarasota county	30	1439.59	55	0	73	81.51	64868
13043	chatham county	8	1112.42	48	0.3	66.8	77.04	47563
55001	brown county	9	1372.93	30.4	51.4	44.6	80.59	52821
33007	rockingham county	45	1800.36	49	56.6	47.5	80.64	73819
40997	clackamas county	11	4845.05	63.3	45.2	51	80.49	58608
39143	stark county	6	1490.04	40.1	34	49.9	78.52	45136
31101	lancaster county	-1	2169.25	31	25.3	51	80.46	49889
6091	stanislaus county	4	3874.63	12.8	0	63.2	78.25	44120
34023	passaic county	37	481.745	50.1	29.5	51.3	79.76	50570
2012	anchorage municipality	31	4419.54	30.9	124.3	36.4	78.68	66510
48347	nueces county	3	2171.22	32.9	0.1	72.3	78.08	44378
39009	butler county	6	1209.5	42.3	9.3	53.6	77.88	47408
45075	spartanburg county	42	2092.67	48.3	2.2	60.1	75.68	43148
42071	luzerne county	12	2305.98	43.1	37.5	48	77.53	45219
29175	st. charles county	14	1451.49	42.5	13.3	55	80.46	53745
12013	collier county	30	5176.98	53.8	0	74.5	83.43	92686
18031	elkhart county	26	1199.61	39.3	41.5	49.7	78.78	46816
47179	williamson county	20	1508.92	53.4	1.6	58.1	81.86	94872
8061	larimer county	15	6723.02	16.6	84.2	44.5	81.72	54188
22047	lafayette parish	23	696.042	61.6	0	68.4	77.49	50273
51752	richmond city	19	155.174	43.6	10.3	58.9	74.98	56306
42121	westmoreland county	12	2661.37	43.9	36.5	50.2	78.9	52200
41031	lane county	11	11799.2	60.6	2.5	52.1	79.22	45919
26995	anoka county	38	1095.49	32.5	59.4	44	81.18	51258
42033	cumberland county	12	1412.83	43	31.4	52.2	80.39	55141
18133	st. joseph county	26	1185.91	39.8	66.6	49.2	77.98	47673
37013	buncombe county	16	1700.04	45.1	13.2	54.5	78.8	48592
36063	orange county	24	2103.9	45.9	40.2	49.9	79.8	51848
4999	benton county	10	2195.02	47.5	11.5	57.5	79.39	88890
46091	minnehaha county	2	2089.69	27.1	39.3	45.4	79.67	57223
19105	linn county	41	1856.76	35.9	28.2	48.4	80.39	52743
26041	genesee county	25	1649.73	32.4	38	47.2	76.06	41068
6045	monterey county	4	8496.68	20.9	0.4	57.3	81.85	56193
36079	rockland county	24	449.2	50.3	25	47.3	82.54	60464
51033	chesterfield county	19	1096.57	44.6	7.5	58.8	79.94	53695
48295	lubbock county	3	2319.6	20.2	6.6	60.7	76.86	42569
17193	winnebago county	33	1329.7	36.7	36.7	49.2	77.95	43742
8027	douglas county	15	2176.07	19.7	77.6	48.8	83.72	73662
6087	solano county	4	2128.35	25.3	0	62	79.65	51664
42041	erie county	12	2069.62	46	109.1	48.9	78.37	44903
26131	ottawa county	25	1459.63	35.5	69.9	48.4	81.45	49418
45043	horry county	42	2937.08	51.7	1	63	77.02	37091
26057	ingham county	25	1440.32	32.4	40.2	48.8	78.69	40761
47141	rutherford county	20	1604.16	54	2.7	58	78.03	41031
12025	escambia county	30	1701.45	63.2	0	67.7	76.33	42537
26069	kalamazoo county	25	1456.08	37.7	50	49.8	79.11	48723
42087	northampton county	12	957.324	45.4	32.9	51.5	80.08	54859
36077	richmond county	24	148.973	46.7	28.5	54.9	80	56749
51702	norfolk city	19	137.986	47.4	4.8	60.7	75.53	41822
33993	atlantic county	37	1438.98	43.6	18.8	54.5	77.71	48668
41039	marion county	11	3057.62	57.2	5.9	51.9	78.97	43042
51145	prince william county	19	869.615	41.5	22	55.9	80.99	54740
48053	cameron county	3	2307.9	27	0	74.1	80.14	28756
29039	clay county	14	1029.94	40.1	16.6	54.5	79.12	48381
38009	cass county	39	4571.11	22.6	41.5	42	80.97	56070
45055	lexington county	42	1810.55	47.4	1	62.6	78.02	46513
12073	manatee county	30	1924.7	54.4	0	72.6	80.36	47378
9003	new london county	35	1722.71	49.9	29.7	51.1	80.18	59264
48301	mclennan county	3	2686.1	35.8	0.6	66.2	77.24	41254
17135	peoria county	33	1602.48	37.4	22	51.2	78.22	51135
48321	midland county	3	2331.65	15.4	3.2	64.8	78.36	124455
55079	outagamie county	9	1651.32	32	42.2	45	81.06	51230
18155	vanderburgh county	26	605.228	46.5	12.8	56.4	77.18	45893
1093	montgomery county	7	2033.76	51.1	0.2	64.8	75.83	43688
12093	pasco county	30	1936.4	54.2	0	73	77.7	40313
12065	leon county	30	1727.2	58.6	0.1	67.6	79.35	44482
6033	marin county	4	1347.98	40.5	0	58.6	83.8	134275
48237	jefferson county	3	2269.79	59	0	68.8	75.91	44065
37121	new hanover county	16	497.79	57.9	1	63.5	79.31	45290
22009	caddo parish	23	2275.37	52.5	0.5	65	74.89	48413
36019	dutchess county	24	2060.68	47.9	45.2	49	80.49	56365
11993	alachua county	30	2266.4	50.4	0	68.7	78.64	44390
27101	olmsted county	38	1692.58	33.7	48.8	44.6	82.24	58554
6099	tulare county	4	12494.8	23.7	57	58.8	78.3	40420
28041	hinds county	13	2252.65	55.8	0.9	65	75.4	39311
48019	bell county	3	2721.76	35	0.2	66.8	77.91	42773
34007	gloucester county	37	833.863	46.1	16	53.3	78.59	54745
48031	brazoria county	3	3528.36	52.6	0	69.4	78.1	47239
6071	san luis obispo county	4	8548.55	21	0.1	59	81.37	58491
5135	washington county	10	2439.68	48.9	5.9	57.6	78.11	40247
51542	chesapeake city	19	876.738	50.8	5.8	58.8	78.48	50529
48415	smith county	3	2386.7	46.2	1.3	65.5	77.77	55229
37043	cumberland county	16	1690.03	45.3	1.6	62.2	76.26	38780
49003	davis county	17	774.501	24.9	63.8	51	80.74	46286
55131	winnebago county	9	1125.26	30.9	35.8	46.2	80.24	48101
24013	frederick county	40	1710.55	43.6	26.3	53.6	80.42	61869
51692	newport news city	19	178.94	45.4	4.9	60.6	78.26	43501
17111	madison county	33	1853.82	42.7	11.4	56.7	77.16	46890
8115	weld county	15	10323.7	15	34.5	47.8	80.02	46172
42061	lackawanna county	12	1188.22	38.3	46.2	49.4	77.78	47730
45083	york county	42	1763.17	44.5	2.6	61.1	77.4	46667
49999	chittenden county	34	1389.74	42	78.4	44.8	81.39	60914
27129	st. louis county	38	16181.1	28.2	65.6	37.9	79.24	47417
12075	marion county	30	4114.23	52.4	0	70.5	77.45	36997
36057	oneida county	24	3139.92	49.1	122.3	45.2	79.15	44697
48159	galveston county	3	981.479	50.2	0.2	69.8	77.22	51785
12089	osceola county	30	3438.74	53.2	0	71.8	79.24	33346
17103	mchenry county	33	1562.34	36.2	32.6	47.7	80.15	55720
12061	lake county	30	2436.87	50.5	0	71.6	79.03	42190
21007	boone county	5	637.796	42.5	22.1	54.4	78.9	48004
42117	washington county	12	2219.59	38.2	23.3	50.8	78.23	59568
39077	lake county	6	593.8	39.5	35.9	50.6	79.26	50729
39091	mahoning county	6	1065.8	35.4	36.5	47.7	77.24	43097
39033	delaware county	6	1147.87	38.3	19.4	51.5	81.43	74093
42011	butler county	12	2042.45	42.6	37	49.2	79.25	58927
39085	lorain county	6	1272.27	38.4	43.8	50.6	78.59	46147
1109	shelby county	7	2034.11	56.2	0.6	63	79.53	54369
27137	stearns county	38	3477.88	29.5	46.2	43.4	82.1	47196
13237	richmond county	8	840.026	45.1	0.9	64.6	74.07	38196
51502	alexandria city	19	38.6793	39.7	15.4	58.2	81.7	88008
49049	weber county	17	1492.52	21.3	73.2	49.5	78.8	41853
37027	catawba county	16	1039.55	45.4	4.5	58.8	76.77	45342
19155	scott county	41	1186.44	36	26.3	50	79.34	54323
13131	hall county	8	1017.81	53.6	1.9	60.4	78.57	43701
13207	muscogee county	8	560.544	48.2	0.4	65.1	75.13	44149
39157	warren county	6	1039.44	41.5	14.9	52.7	79.61	59799
17159	sangamon county	33	2248.89	38.5	20.9	52.8	78.33	48891
6079	santa cruz county	4	1152.97	31.4	0	58	81.37	69355
27155	washington county	38	995.559	33.8	50.6	46.2	81.97	67928
22011	calcasieu parish	23	2756.54	62.6	0	67.5	75.13	48968
1117	tuscaloosa county	7	3421.04	53.9	0.2	63.9	75.8	38822
22095	st. tammany parish	23	2190.17	62.4	0.1	67.2	77.64	62366
48471	webb county	3	8706.19	21.4	0.2	73.2	79.69	31635
54031	kanawha county	22	2335.22	45.3	27.7	55	75.61	48435
26137	saginaw county	25	2073.18	32.6	41.6	47.1	77.66	38754
53065	whatcom county	0	5459.4	58.5	25.2	49.9	80.98	48792
28039	harrison county	13	1486.71	66	0.1	68	74.99	37303
29011	boone county	14	1775.56	43.4	16.2	55.3	79.82	47687
13109	forsyth county	8	580.598	54.1	1.1	58.8	81.28	62580
51762	roanoke city	19	110.141	41.2	16.6	57	74.99	43451
24993	barnstable county	27	1020.99	47.3	22.2	50.4	80.75	74756
41021	jackson county	11	7208.5	27.2	20.2	52	79.08	46603
20169	shawnee county	28	1408.93	37.6	15.4	54.8	77.75	46861
24017	harford county	40	1132.1	46.7	17.6	55.9	79.54	58841
13013	bibb county	8	645.7	45.7	0.7	64.6	73.78	41709
53059	thurston county	0	1871.17	50.3	10.8	50.5	80.16	51684
36083	saratoga county	24	2097.88	45.8	65.5	46.7	81.36	67618
17155	st. clair county	33	1703.66	42.7	13.4	55.9	76.67	45061
20201	wyandotte county	28	392.651	40.7	17.1	53.7	75.35	33315
17105	mclean county	33	3064.58	38.3	19.8	51	80.09	49180
9997	sussex county	47	2424.52	45.7	12.1	56.1	78.76	50333
18149	tippecanoe county	26	1292.14	37.9	19.1	51.7	79.14	39169
37089	iredell county	16	1487.12	44.9	5	56	77.33	50065
13055	clayton county	8	366.881	49.3	2	62	77.22	28020
52997	benton county	0	4402.98	8.1	2.9	53.9	79.96	47465
43995	kent county	49	436.556	47.2	33.8	51.6	79.41	59665
48033	brazos county	3	1516.47	40.1	0	69	79.92	39216
53069	yakima county	0	11122.8	8.2	15	51.2	78.44	43379
40019	cleveland county	18	1395.53	39.8	4.1	60.2	78.7	45094
41009	deschutes county	11	7815.56	12.9	35.9	45.5	80.81	55143
35999	broome county	24	1827.99	40	83.4	46.8	79.38	44540
30103	yellowstone county	36	6820.74	14.1	45.9	47.3	78.94	52340
17011	champaign county	33	2579.73	40.6	20.2	51.6	80.25	45328
6105	yolo county	4	2628.26	21.7	0	62.5	80.55	54118
37063	gaston county	16	921.401	42.9	0.6	60.1	75.39	41379
15001	maui county	44	3008.35	38.8	0	71	80.99	49040
48175	gregg county	3	708.031	48.6	0.9	65.3	75.51	45401
48127	ector county	3	2325.1	14.8	1.2	64.7	75.07	47271
55093	racine county	9	861.409	34.5	39	47.1	78.99	49749
37017	cabarrus county	16	935.603	45.9	3.7	60.4	78.11	45220
45033	florence county	42	2071.89	45.1	0.9	63.5	74.5	41833
55065	marathon county	9	4001.47	32.1	52.6	42.9	80.62	50111
995	baldwin county	7	4117.61	68	0.1	66.4	78.08	45596
12103	st. lucie county	30	1480.66	53.8	0	73.1	79.12	39374
55055	la crosse county	9	1170.08	34	43.1	46.3	80.35	50107
19095	johnson county	41	1590.38	36.9	27.2	50.6	82.08	52672
12101	st. johns county	30	1555.79	51.3	0	69.2	80.69	68149
18055	hendricks county	26	1053.85	43.5	12.8	51	79.97	49641
6047	napa county	4	1938.17	32.8	0	59	80.49	74984
53027	kitsap county	0	1023.31	56.4	3.5	52	79.66	56244
8999	middlesex county	35	956.494	51.2	35.6	51.7	81.02	68673
33005	merrimack county	45	2415.83	46.9	67.4	45.7	79.89	57924
48201	hays county	3	1755.98	36.3	0.5	67.6	80.56	43719
36055	niagara county	24	1352.89	36.3	72.7	48.6	78.44	45501
12083	okaloosa county	30	2409.37	65.4	0	66.7	78.38	48875
44999	anderson county	42	1853.03	48	1.7	60.8	76.32	39710
47155	sullivan county	20	1070.73	42	11	56.4	76.42	42606
55097	rock county	9	1859.98	35.7	33.4	47.4	78.89	44204
12077	martin county	30	1408.25	61.6	0	73.9	81.16	83873
5999	butte county	4	4238.44	47.9	0.6	60.7	78.24	44346
19005	black hawk county	41	1465.37	34.6	35.3	47.9	79.42	44764
21109	kenton county	5	414.951	42.5	22.1	54.4	77.06	57982
55051	kenosha county	9	704.209	35.3	36.2	47.5	78.23	46874
5123	sebastian county	10	1377.6	48.4	4.9	61.7	76.19	42110
36993	alamance county	16	1096.65	45.1	2.4	59.2	77.66	39342
17153	rock island county	33	1107.12	37.5	31.6	51.4	78.76	44802
48367	potter county	3	2352.75	20.8	17.8	56.5	73.91	43945
4017	yavapai county	46	21039.8	16	4.5	59.5	79.02	40312
37139	pitt county	16	1689.62	49.6	2.9	61.7	77.45	41191
22065	ouachita parish	23	1580.94	55.1	0.6	64.5	75.46	41053
24035	washington county	40	1185.61	41.1	20.6	53	78.07	47092
39147	trumbull county	6	1600.94	39.3	42.6	49.7	77.38	41363
51672	lynchburg city	19	126.843	41.5	13.4	54.8	76.92	37719
37171	union county	16	1636.33	45.4	2.4	60.8	79.02	51326
11997	bay county	30	1964.4	59.2	0	68.9	76.52	43231
16019	canyon county	29	1520.44	10.6	8.3	52.1	79.05	32680
31145	sarpy county	-1	618.872	33	40.4	50.3	80.5	50333
13049	cherokee county	8	1090.6	53.3	1.9	57.9	79.93	51137
26085	livingston county	25	1463.69	33.1	31.6	47.5	80.2	58326
45005	beaufort county	42	1492.88	48.8	0.2	66.2	81.57	56711
18119	porter county	26	1082.78	39.6	39.9	49.8	78.72	53130
23011	penobscot county	43	8798.66	43.5	77.7	42.9	78.64	42053
28025	desoto county	13	1233.56	54.1	3	61.7	76.96	40702
39165	wood county	6	1598.51	33.9	22.2	50.5	79.32	47694
48433	taylor county	3	2371.27	26.2	2.6	63.8	76.78	45333
19053	dubuque county	41	1575.49	36.1	37.8	47.8	80.03	49085
13143	henry county	8	825.202	49.5	1.1	61.6	77.5	39184
36085	schenectady county	24	529.856	41.9	60.3	45.6	79.51	50533
39049	greene county	6	1071.56	41.8	21.3	53.4	79.58	50291
21219	warren county	5	1402.74	50.2	5.8	58	77.26	38045
14993	hawaii county	44	10433.6	73.3	0	68.3	80.15	42449
47171	washington county	20	845.606	44.8	8.2	56.5	76.49	43299
49045	washington county	17	6285.76	13.4	12.2	57.8	81.36	38847
3997	coconino county	46	48222.2	17	48.4	52.1	79.4	48129
39081	licking county	6	1767.34	40.6	20.3	50.8	78.07	46059
23023	york county	43	2566.24	50.7	58.8	45.4	80.15	52068
39095	medina county	6	1091.41	39.2	37.9	48.9	80.26	55691
28113	rankin county	13	2008.32	55.6	0.4	64.8	78.4	44661
47105	madison county	20	1442.9	54.7	4.1	59.8	76.53	42720
42005	blair county	12	1361.82	39.6	30	49.2	78.08	46743
55109	sheboygan county	9	1324.91	33.1	46.4	45.7	80.33	52851
45007	berkeley county	42	2845.75	50.3	0	64.5	77.76	40415
16047	kootenai county	29	3205.26	25.1	29.6	47	79.51	44987
48083	comal county	3	1449.13	35.1	0.3	67.2	79.82	58067
16011	bonneville county	29	4832.88	14.9	53.2	43.9	79	48287
26013	berrien county	25	1470.47	38.3	76.4	50.7	77.66	47430
55027	eau claire county	9	1652.21	33.2	46.8	43.3	80.57	48240
8069	mesa county	15	8621.91	13.8	16.9	49.2	78.77	44935
9993	kent county	47	1518.57	46	15.7	56.9	77.54	42023
4013	pinal county	46	13897.5	12.8	1.1	70.3	80.17	30644
24005	carroll county	40	1159.28	44	26	53.2	79.28	63039
26113	muskegon county	25	1298.49	33.2	80.1	47.8	77.65	39072
35005	doña ana county	1	9863.13	10.5	2.5	61	79.61	36570
8997	litchfield county	35	2384.06	50.7	56	47.1	80.74	64949
